Unit: GPU minutes,sum,ec01,ec11,ec12,ec15,ec29,ec30,ec31,ec35,ec54,ec56,ec98,ec109,ec154,ec192,ec195,ec201,ec206,ec217,ec232,ec281,ec309,ec313,ec354,ec403,ec422,ec425,ec428,ec443,ec488,ec503,ec511,ec564
nf-DEEPLIFT_(7),6199,,,,,,,6199,,,,,,,,,,,,,,,,,,,,,,,,,
nf-DEEPLIFT_(8),12784,,,,,,,12784,,,,,,,,,,,,,,,,,,,,,,,,,
nf-DEEPLIFT_(9),11317,,,,,,,11317,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(1),6679,,,,,,,6679,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(2),8238,,,,,,,8238,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(3),8609,,,,,,,8609,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(4),7803,,,,,,,7803,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(5),2765,,,,,,,2765,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(6),3836,,,,,,,3836,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(7),996,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(8),2527,,,,,,,2527,,,,,,,,,,,,,,,,,,,,,,,,,
nf-TRAIN_(9),3764,,,,,,,3764,,,,,,,,,,,,,,,,,,,,,,,,,
ng-eval,997,,,,,,,,,,,,,,,,,,,,,,,,997,,,,,,,,
ng-train,3942092,,,,,,,,,,,,,,,,,,,,,,,,3942092,,,,,,,,
nikolsav_eval-1,4121,,,4121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_eval-2,1222,,,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_eval-3,1059,,,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_eval-4,451,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_eval-test-1,39,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_model_ds1,122076,,,122076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_newmodels_ds1,107814,,,107814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_newmodels_ds2,114603,,,114603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_newmodels_ds3,4604971,,,4604971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_pktune-1,1292,,,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_pktune-2,1548,,,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_pktune-3,2688,,,2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_pktune-4,4999,,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_pktune-5,4269,,,4269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_retuning_ds2,73984,,,73984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_retuning_ds3,46859,,,46859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_spotify-tune-1,154369,,,154369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_spotify-tune-2,18,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_tune-1,680353,,,680353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_tune-2,1153206,,,1153206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_tune-3,172107,,,172107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolsav_tune-4,63902,,,63902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norbert3,23090,,,,,,23090,,,,,,,,,,,,,,,,,,,,,,,,,,
norbert4,5506,,,,,,5506,,,,,,,,,,,,,,,,,,,,,,,,,,
norm,382455,,,,,,,,,,,,,,,,,,,,,,,,382455,,,,,,,,
normistral,1725843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725843
nose_panda_train,464793,,,,,,,,464793,,,,,,,,,,,,,,,,,,,,,,,,
nsk-transcription-job,2528220,,,,,,,,,,,,,,,,,,,,,,2528220,,,,,,,,,,
obli3,118252,,,,,,,,,,,,,,,,,,,,,,,,118252,,,,,,,,
obli3_contam,9723,,,,,,,,,,,,,,,,,,,,,,,,9723,,,,,,,,
obli3_eval,8744,,,,,,,,,,,,,,,,,,,,,,,,8744,,,,,,,,
obli3_full_135m,3595,,,,,,,,,,,,,,,,,,,,,,,,3595,,,,,,,,
obli3_full_135m_inst,3644,,,,,,,,,,,,,,,,,,,,,,,,3644,,,,,,,,
obli3_full_ft,34655,,,,,,,,,,,,,,,,,,,,,,,,34655,,,,,,,,
obli3_generate,14126,,,,,,,,,,,,,,,,,,,,,,,,14126,,,,,,,,
obli3_infer_hf,340,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,
obli3_infer_vllm,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
obli3_inference,433,,,,,,,,,,,,,,,,,,,,,,,,433,,,,,,,,
obli3_lora,22307,,,,,,,,,,,,,,,,,,,,,,,,22307,,,,,,,,
obli3_lora_1.7b,32446,,,,,,,,,,,,,,,,,,,,,,,,32446,,,,,,,,
obli3_retrain_clean,3570,,,,,,,,,,,,,,,,,,,,,,,,3570,,,,,,,,
obli3_speed_hf,2321,,,,,,,,,,,,,,,,,,,,,,,,2321,,,,,,,,
obli3clean,36720,,,,,,,,,,,,,,,,,,,,,,,,36720,,,,,,,,
obli3eval_test,5694,,,,,,,,,,,,,,,,,,,,,,,,5694,,,,,,,,
obli3full,364669,,,,,,,,,,,,,,,,,,,,,,,,364669,,,,,,,,
obli3lora,692881,,,,,,,,,,,,,,,,,,,,,,,,692881,,,,,,,,
obli3pred,6520,,,,,,,,,,,,,,,,,,,,,,,,6520,,,,,,,,
obli3pred_test,22515,,,,,,,,,,,,,,,,,,,,,,,,22515,,,,,,,,
obli3pred_test_a100,29979,,,,,,,,,,,,,,,,,,,,,,,,29979,,,,,,,,
obli3pred_test_rtx30,28641,,,,,,,,,,,,,,,,,,,,,,,,28641,,,,,,,,
obli3speed,4592,,,,,,,,,,,,,,,,,,,,,,,,4592,,,,,,,,
oblig1_experiments,1390,,,,,,,,,,,,,,,,,,,,,,,,1390,,,,,,,,
oblig3-32a,201310,,,,,,,,,,,,,,,,,,,,,,,,201310,,,,,,,,
oblig3-32b,192812,,,,,,,,,,,,,,,,,,,,,,,,192812,,,,,,,,
oblig3-33,349361,,,,,,,,,,,,,,,,,,,,,,,,349361,,,,,,,,
oblig3-34hf,525,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,,
oblig3-35,20681,,,,,,,,,,,,,,,,,,,,,,,,20681,,,,,,,,
oblig3_clean_retrain,30292,,,,,,,,,,,,,,,,,,,,,,,,30292,,,,,,,,
oblig3_full_135m,290551,,,,,,,,,,,,,,,,,,,,,,,,290551,,,,,,,,
oblig3_full_ft,2089,,,,,,,,,,,,,,,,,,,,,,,,2089,,,,,,,,
oblig3_heldout_predict_lora,437,,,,,,,,,,,,,,,,,,,,,,,,437,,,,,,,,
oblig3_lora,10229,,,,,,,,,,,,,,,,,,,,,,,,10229,,,,,,,,
oblig3_lora_17b,51672,,,,,,,,,,,,,,,,,,,,,,,,51672,,,,,,,,
oblig3_p2_135m,214972,,,,,,,,,,,,,,,,,,,,,,,,214972,,,,,,,,
oblig3_p2_instr,216511,,,,,,,,,,,,,,,,,,,,,,,,216511,,,,,,,,
oblig3_p36_heldout,715,,,,,,,,,,,,,,,,,,,,,,,,715,,,,,,,,
oblig3_p3_attn,46087,,,,,,,,,,,,,,,,,,,,,,,,46087,,,,,,,,
oblig3_p3_qv,218482,,,,,,,,,,,,,,,,,,,,,,,,218482,,,,,,,,
oblig3_predict,585,,,,,,,,,,,,,,,,,,,,,,,,585,,,,,,,,
oblig3_speed,906,,,,,,,,,,,,,,,,,,,,,,,,906,,,,,,,,
oblig3_speed_compare,1945,,,,,,,,,,,,,,,,,,,,,,,,1945,,,,,,,,
openpose-elites-resume,17275,,,,,,,,,,,,,,,,,,,17275,,,,,,,,,,,,,
openpose-left,8603,,,,,,,,,,,,,,,,,,,8603,,,,,,,,,,,,,
openpose-left-resume,13909,,,,,,,,,,,,,,,,,,,13909,,,,,,,,,,,,,
openpose3,22074,,,,,,,,,,,,,,,,,,,22074,,,,,,,,,,,,,
openpose4,1615,,,,,,,,,,,,,,,,,,,1615,,,,,,,,,,,,,
openpose_elites,68085,,,,,,,,,,,,,,,,,,,68085,,,,,,,,,,,,,
openpose_left_sany,4004,,,,,,,,,,,,,,,,,,,4004,,,,,,,,,,,,,
openpose_sany,1375,,,,,,,,,,,,,,,,,,,1375,,,,,,,,,,,,,
pandanetworks,19088432,,,,,,,19088432,,,,,,,,,,,,,,,,,,,,,,,,,
pepe_benchmark_len,2063441,,,,,,,,,,,,,,,2063441,,,,,,,,,,,,,,,,,
pooling_exp,54144,,,,,,,,,,,,,,,,,,,,,,,,54144,,,,,,,,
precomp-emb,5840,,,,,,,,,5840,,,,,,,,,,,,,,,,,,,,,,,
predict-heldout,361,,,,,,,,,,,,,,,,,,,,,,,,361,,,,,,,,
predict_base,36318,,,,,,,,,,,,,,,,,,,,,,,,36318,,,,,,,,
predict_heldout,719,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,
predict_instruct,33322,,,,,,,,,,,,,,,,,,,,,,,,33322,,,,,,,,
predict_lora,15241,,,,,,,,,,,,,,,,,,,,,,,,15241,,,,,,,,
price-only,787,,,,,,,,,787,,,,,,,,,,,,,,,,,,,,,,,
price_nogate,1139,,,,,,,,,1139,,,,,,,,,,,,,,,,,,,,,,,
prod,67729,,,,,,,,,,,,,,,,,,67729,,,,,,,,,,,,,,
prod_dasatinib,71490,,,,,,,,,,,,,,,,,,71490,,,,,,,,,,,,,,
prod_imatinib,42146,,,,,,,,,,,,,,,,,,42146,,,,,,,,,,,,,,
prompting_06,2938528,,,,,,2938528,,,,,,,,,,,,,,,,,,,,,,,,,,
prompting_08B,133646,,,,,,133646,,,,,,,,,,,,,,,,,,,,,,,,,,
prompting_8B,59805,,,,,,59805,,,,,,,,,,,,,,,,,,,,,,,,,,
prompting_8B_think,2247,,,,,,2247,,,,,,,,,,,,,,,,,,,,,,,,,,
prompting_think,21026478,,,,,,21026478,,,,,,,,,,,,,,,,,,,,,,,,,,
ps-full,2012,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,
ps-h5,1449,,,,,,,,,1449,,,,,,,,,,,,,,,,,,,,,,,
ps-price,448,,,,,,,,,448,,,,,,,,,,,,,,,,,,,,,,,
psi_model,3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3377,,,
psi_testing,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,,,
qe_span,45316,,,,,,45316,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen-omni,781,,,,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3coder-vllm,9830633,,,9830633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rag_lab,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raptor_camelyon_train,983248,,,,,,,,983248,,,,,,,,,,,,,,,,,,,,,,,,
raptor_panda_tcga_train,467066,,,,,,,,467066,,,,,,,,,,,,,,,,,,,,,,,,
record_evaluation_job,29728,,,,,,29728,,,,,,,,,,,,,,,,,,,,,,,,,,
recover.slurm,2385,,,2385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate_aware_average,14073,,,,,,,,,,,,,,,14073,,,,,,,,,,,,,,,,,
resnet_train,48901,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resume_dvm,613,,,,,,,,613,,,,,,,,,,,,,,,,,,,,,,,,
ret-full,9863,,,,,,,,,9863,,,,,,,,,,,,,,,,,,,,,,,
ret-price,318,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,
rlvr-7b,15192885,,,,,,,,,,,,,,,,,,,,,,,,15192885,,,,,,,,
rlvr-test,46914653,,,,,,,,,,,,,,,,,,,,,,,,46914653,,,,,,,,
rlvr-train,17147840,,,,,,,,,,,,,,,,,,,,,,,,17147840,,,,,,,,
rppg_B,288299,,,288299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_C,296784,,,296784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_D,511319,,,511319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_E,307096,,,307096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_F,297457,,,297457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_G,293050,,,293050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_H,299049,,,299049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_I,315687,,,315687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rppg_J,302097,,,302097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run5,153863,,,153863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,159107,,,159107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2,161423,,,161423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s5,162266,,,162266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s_fold,7938,,,,,,,,,,,,,,,7938,,,,,,,,,,,,,,,,,
save_champion,1470,,,,,,,,,,,,,,,,,,,,,,,,1470,,,,,,,,
science_evaluation_job,2921,,,,,,2921,,,,,,,,,,,,,,,,,,,,,,,,,,
scoring,73008,,,,,,,,,,,,,,,,,,,,,,,,73008,,,,,,,,
sft-lora,9801,,,,,,,,,,,,,,,,,,,,,,,,9801,,,,,,,,
sft_base_135M,5637,,,,,,,,,,,,,,,,,,,,,,,,5637,,,,,,,,
sft_base_clean,8118,,,,,,,,,,,,,,,,,,,,,,,,8118,,,,,,,,
sft_baseline,22777,,,,,,,,,,,,,,,,,,,,,,,,22777,,,,,,,,
sft_epochs5,28971,,,,,,,,,,,,,,,,,,,,,,,,28971,,,,,,,,
sft_evaluate,95932,,,,,,,,,,,,,,,,,,,,,,,,95932,,,,,,,,
sft_instruct_135M,12138,,,,,,,,,,,,,,,,,,,,,,,,12138,,,,,,,,
sft_large_batch,17632,,,,,,,,,,,,,,,,,,,,,,,,17632,,,,,,,,
sft_lr_high,17660,,,,,,,,,,,,,,,,,,,,,,,,17660,,,,,,,,
sft_lr_low,17660,,,,,,,,,,,,,,,,,,,,,,,,17660,,,,,,,,
simpleLLMtest,108,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sir_generation,358760,,,,,,,,,,,,,,,,,,,,,,,,358760,,,,,,,,
sketching,2185,,,,,,,,2185,,,,,,,,,,,,,,,,,,,,,,,,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_0,3856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3856,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_1,3696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3696,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_10,7031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7031,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_11,3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3733,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_12,2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_13,2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_14,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_2,3975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3975,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_3,4617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4617,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_4,4198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_5,4620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_6,3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3274,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_7,2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2616,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_8,2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D6_S1_B1/20241002_2143_P2S-02475-B_PAY96409_f5545efd/pod5_file_id=PAY96409_f5545efd_2a8cff63_9,6769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6769,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_0,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_1,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_10,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,
