Unit: CPU minutes,sum,jobs,ec01,ec11,Fox project,StREP,NKcell,robin,nlpl,ncmm,BMI,ecdsb,Big data applications in psychiatric genetics and neuroimaging.,IN3200/IN4200 student HPC access,Gut-macro,PHAIT,highRES-UiO,UNLU,MACROCOP,CINPLA,AMCARC,Deep learning for remote sensing,ImAI,FHI Real-time modelling,ImmunoHub2.0,lcbc,Reanalyzes of Publicly Available Prostate Cancer RNA-Seq datasets,CADD,NAIC,Protists V4 metabarcoding in the deep-sea mining areas of the Clarion-Clipperton Zone,it-hjelp-ai,Integreat,PRIMA-TF,autotekst-ec,Neural activity and cognitive function,Sekulic CryoEM,MDcell,ADA,ltg_students,POLITEX,GS-AMR,JIA_cell,PCF-UiO-OUH,Run LLM on Fox,Genetiske og funksjonelle undersøkelser av svulstvev til pasienter med lymfekreft,PSI,KI-initiativ plattform,Studier av makrofager ved tykktarmskreft,Deciphering a Century-Old Puzzle: Warburg effect in Cancer Cells,DESCRYPT,NORBRUK,Cryo-EM of Transglutaminase,FREMO,highRES,Org
orca_scfgrad_mp,35,NEUTRAL,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orca_scfhess_mp,10706,T1mirFREQ,,,10706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parallel_main,19,simple,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perl,2369,taxp1 taxp2 ...,47,,1168,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,,,,11,,,,,,
pixi,3,interactive,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
porechop,4485,nf-NFCORE_BACASS_BAC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4485,,,,,,,,,,,,,,
post_proc_matri,397,tractography_dwi_151* tractography_dwi_100* ...,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prterun,2,CDK12_rerun,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ps.sh,1343,OOD Code Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343,,,,,,,,,,,,,,,,
pt_data_worker,607280,YOLO_Training abreturn_train ...,,,13208,,,,,,,44290,,2,,,,1,,,,,,,549488,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,
pt_elastic,33,RN50_PSGD transformer-xl-2GPU ...,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_main_thread,52927,EEtrain-o format-analysis ...,,,9805,,,,11630,,1515,28081,,,1429,,,,,,,,,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,
pyrefly,5,OOD Jupyter,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyscenic,6,interactive,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,14107991,classify_speeches world_map_rl ...,9412,,770096,57,33309,9369291,6576,10912,158978,495627,,92,4688,,87,1530,,42679,,155470,6,1188769,360149,279425,4962,,5938,612,14307,,17809,1843,958926,,,,95312,3123,5893,25033,570,1139,,82675,79,437,,1,2046,4,,130,
qiime,25,lph_rrfctn.sprk.16S_* lph_rrfctn.sprk.18S_* ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
qunex,4040,tractography_dwi_170* tractography_dwi_171* ...,,,,,,,,,,,,,,,,,,,,,,,,4040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapidtide,3427,rapidtide_1711082_20* rapidtide_1741151_20* ...,,,,,,,,,,,,,,,,,,,,,,,,3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ray::Evaluator,3624,tag_map_rl_training tag_MAPelites ...,,,,,,3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ray::Evaluator.,10209,world_map_rl tag_MAPelites ...,,,,,,10209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ray::IDLE,2579,train_py dqn_training ...,,,,,,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437,,,,,,,,,,,,,,,,
ray::MultiAgent,6,RL_training,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
